id,byline_date,byline_place,lat,lon
dt66,1926-10-28,"Oklahoma City, Oklahoma",35.4729886,-97.5170536
dt67,1926-10-29,"Fort Worth, Texas",32.753177,-97.3327459
dt68,1926-10-30,"San Antonio, Texas",29.4246002,-98.4951405
dt69,1926-10-31,"San Antonio, Texas",29.4246002,-98.4951405
dt70,1926-11-01,"San Antonio, Texas",29.4246002,-98.4951405
dt71,1926-11-02,"Austin, Texas",30.2711286,-97.7436995
dt72,1926-11-03,"Dallas, Texas",32.7762719,-96.7968559
dt73,1926-11-04,"Lubbock, Texas",33.5855677,-101.8470215
dt74,1926-11-05,"San Angelo, Texas",31.4649685,-100.4405094
dt75,1926-11-06,"Waco, Texas",31.5491899,-97.1474628
dt76,1926-11-07,"Fort Worth, Texas",32.753177,-97.3327459
dt77,1926-11-08,"Amarillo, Texas",35.20729,-101.8371192
dt78,1926-11-09,"Wichita Falls, Texas",33.9004572,-98.5020777
dt79,1926-11-10,"Abilene, Texas",32.44645,-99.7475905
dt80,1926-11-11,"Texarkana, Arkansas",33.4254259,-94.0430937
dt81,1926-11-12,"Corsicana, Texas",32.091299,-96.4646821
dt82,1926-11-13,"Little Rock, Arkansas",34.7465071,-92.2896267
dt83,1926-11-14,"Fort Gibson, Oklahoma",35.803802000000005,-95.25792674827194
dt84,1926-11-15,"Independence, Kansas",37.2242358,-95.7083131
dt85,1926-11-16,"Kansas City, Missouri",39.100105,-94.5781416
dt86,1926-11-17,"Topeka, Kansas",39.049011,-95.677556
dt87,1926-11-18,"Wichita, Kansas",37.6922361,-97.3375448
dt88,1926-11-19,"Denver, Colorado",39.7392364,-104.984862
dt89,1926-11-21,"Wray, Colorado",40.0758822,-102.223253
dt90,1926-11-22,"St. Joseph, Missouri",39.7686055,-94.8466322
dt91,1926-11-23,"Chicago, Illinois",41.8755616,-87.6244212
dt92,1926-11-24,"Lima, Ohio",40.7399785,-84.105006
dt93,1926-11-25,"Pittsburgh, Pennsylvania",40.4416941,-79.9900861
dt94,1926-11-26,"Springfield, Illinois",39.7990175,-89.6439575
dt95,1926-11-27,"Indianapolis, Indiana",39.7683331,-86.1583502
dt96,1926-11-28,"Louisville, Kentucky",38.2542376,-85.759407
dt97,1926-11-29,"South Bend, Indiana",41.6833813,-86.2500066
dt98,1926-11-30,"Kalamazoo, Michigan",42.291707,-85.5872286
dt99,1926-12-01,"Toledo, Ohio",41.6529143,-83.5378173
dt100,1926-12-02,"Cleveland, Ohio",41.4996574,-81.6936772
dt101,1926-12-03,"Fort Wayne, Indiana",41.0799898,-85.1386015
dt102,1926-12-05,"Chicago, Illinois",41.8755616,-87.6244212
dt103,1926-12-06,"Youngstown, Ohio",41.1035786,-80.6520161
dt104,1926-12-07,"Utica, New York",43.1009031,-75.2326641
dt105,1926-12-08,"New York, New York",40.7127281,-74.0060152
dt106,1926-12-09,"New York, New York",40.7127281,-74.0060152
dt107,1926-12-10,"Baltimore, Maryland",39.2908816,-76.610759
dt108,1926-12-11,"Washington, District of Columbia",38.89384735,-76.98804281910948
dt109,1926-12-12,"Washington, District of Columbia",38.89384735,-76.98804281910948
dt110,1926-12-13,"Scranton, Pennsylvania",41.4086874,-75.6621294
dt111,1926-12-14,"Jamestown, New York",42.0965167,-79.2380322
dt112,1926-12-15,"Pittsburgh, Pennsylvania",40.4416941,-79.9900861
dt113,1926-12-16,"Wilkes-Barre, Pennsylvania",41.2464824,-75.8817316
dt114,1926-12-17,"Detroit, Michigan",42.3315509,-83.0466403
dt115,1926-12-18,"Chicago, Illinois",41.8755616,-87.6244212
dt116,1926-12-19,"Dodge City, Kansas",37.7527982,-100.0170787
dt117,1926-12-20,"Winslow, Arizona",35.0241984,-110.6973463
dt118,1926-12-21,"Beverly Hills, California",34.0696501,-118.3963062
dt119,1926-12-22,"Beverly Hills, California",34.0696501,-118.3963062
dt120,1926-12-23,"Beverly Hills, California",34.0696501,-118.3963062
dt121,1926-12-24,"Beverly Hills, California",34.0696501,-118.3963062
dt122,1926-12-26,"Hollywood, Los Angeles, California",34.0980031,-118.329523
dt123,1926-12-27,"Beverly Hills, California",34.0696501,-118.3963062
dt124,1926-12-28,"Beverly Hills, California",34.0696501,-118.3963062
dt125,1926-12-29,"Los Angeles, California",34.0536909,-118.242766
dt126,1926-12-30,"Beverly Hills, California",34.0696501,-118.3963062
dt127,1926-12-31,"Beverly Hills, California",34.0696501,-118.3963062
dt128,1927-01-02,"Hollywood, Los Angeles, California",34.0980031,-118.329523
dt129,1927-01-03,"Gallup, New Mexico",35.5283506,-108.743907
dt130,1927-01-04,"Dodge City, Kansas",37.7527982,-100.0170787
dt131,1927-01-05,"Chicago, Illinois",41.8755616,-87.6244212
dt132,1927-01-06,"Detroit, Michigan",42.3315509,-83.0466403
dt133,1927-01-07,"Ann Arbor, Michigan",42.2813722,-83.7484616
dt134,1927-01-09,"Richmond, Indiana",39.8286897,-84.8898521
dt135,1927-01-10,"St. Louis, Missouri",38.6280278,-90.1910154
dt136,1927-01-11,"Chicago, Illinois",41.8755616,-87.6244212
dt137,1927-01-12,"Grand Rapids, Michigan",42.9632425,-85.6678639
dt138,1927-01-13,"Detroit, Michigan",42.3315509,-83.0466403
dt139,1927-01-14,"Columbus, Ohio",39.9622601,-83.0007065
dt140,1927-01-15,"Lexington, Kentucky",38.0464066,-84.4970393
dt141,1927-01-16,"Lexington, Kentucky",38.0464066,-84.4970393
dt142,1927-01-17,"Chattanooga, Tennessee",35.0457219,-85.3094883
dt143,1927-01-18,"Knoxville, Tennessee",35.9603948,-83.9210261
dt144,1927-01-19,"Spartanburg, South Carolina",34.9498007,-81.9320157
dt145,1927-01-20,"Norfolk, Virginia",36.8448348,-76.2863999
dt146,1927-01-21,"Lester, West Virginia",37.7352787,-81.2996339
dt147,1927-01-22,"Lynchburg, Virginia",37.4137536,-79.1422464
dt148,1927-01-23,"New York, New York",40.7127281,-74.0060152
dt149,1927-01-24,"Utica, New York",43.1009031,-75.2326641
dt150,1927-01-25,"New York, New York",40.7127281,-74.0060152
dt151,1927-01-26,"New York, New York",40.7127281,-74.0060152
dt152,1927-01-27,"Atlantic City, New Jersey",39.3642852,-74.4229351
dt153,1927-01-28,"Albany, New York",42.6511674,-73.754968
dt154,1927-01-29,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
dt155,1927-01-30,"New York, New York",40.7127281,-74.0060152
dt156,1927-01-31,"Roanoke, Virginia",37.270973,-79.9414313
dt157,1927-02-01,"Raleigh, North Carolina",35.7803977,-78.6390989
dt158,1927-02-02,"Daytona Beach, Florida",29.2108147,-81.0228331
dt159,1927-02-03,"Orlando, Florida",28.5421109,-81.3790304
dt160,1927-02-04,"Miami, Florida",25.7741728,-80.19362
dt161,1927-02-05,"Miami, Florida",25.7741728,-80.19362
dt162,1927-02-06,"Miami Beach, Florida",25.7929198,-80.1353006
dt163,1927-02-07,"St. Petersburg, Florida",27.7700475,-82.6359078
dt164,1927-02-08,"Pensacola, Florida",30.421309,-87.2169149
dt165,1927-02-09,"Sarasota, Florida",27.3365805,-82.5308545
dt166,1927-02-10,"Palm Beach, Florida",26.6279798,-80.4494174
dt167,1927-02-11,"Tampa, Florida",27.9477595,-82.458444
dt168,1927-02-12,"Macon, Georgia",32.8406946,-83.6324022
dt169,1927-02-13,"Augusta, Georgia",33.4709714,-81.9748429
dt170,1927-02-14,"Columbia, South Carolina",34.0003117,-81.0331309
dt171,1927-02-15,"Asheville, North Carolina",35.595363,-82.5508407
dt172,1927-02-16,"Pinehurst, North Carolina",35.1951981,-79.4692796
dt173,1927-02-17,"Florence, South Carolina",34.1984435,-79.7671658
dt174,1927-02-18,"Montgomery, Alabama",32.3669656,-86.3006485
dt175,1927-02-19,"Jackson, Mississippi",32.2998686,-90.1830408
dt176,1927-02-20,"Hot Springs, Arkansas",34.5038393,-93.0552437
dt177,1927-02-21,"Hot Springs, Arkansas",34.5038393,-93.0552437
dt178,1927-02-22,"Fayetteville, Arkansas",36.0625843,-94.1574328
dt179,1927-02-23,"Fort Smith, Arkansas",35.3880338,-94.4265011
dt180,1927-02-24,"Breckenridge, Texas",32.7558392,-98.9032554
dt181,1927-02-25,"Brownwood, Texas",31.7070026,-98.9831022
dt182,1927-02-27,"Amarillo, Texas",35.20729,-101.8371192
dt183,1927-02-28,"Albuquerque, New Mexico",35.0841034,-106.650985
dt184,1927-03-01,"El Paso, Texas",31.7601164,-106.4870404
dt185,1927-03-02,"Tucson, Arizona",32.2228765,-110.974847
dt186,1927-03-03,"Tucson, Arizona",32.2228765,-110.974847
dt187,1927-03-04,"Beverly Hills, California",34.0696501,-118.3963062
dt188,1927-03-05,"Los Angeles, California",34.0536909,-118.242766
dt189,1927-03-06,"Hollywood, Los Angeles, California",34.0980031,-118.329523
dt190,1927-03-07,"Beverly Hills, California",34.0696501,-118.3963062
dt191,1927-03-08,"Beverly Hills, California",34.0696501,-118.3963062
dt192,1927-03-09,"Beverly Hills, California",34.0696501,-118.3963062
dt193,1927-03-10,"Fresno, California",36.7394421,-119.78483
dt194,1927-03-11,"San Francisco, California",37.7792588,-122.4193286
dt195,1927-03-12,"Oakland, California",37.8044557,-122.271356
dt196,1927-03-13,"Oakland, California",37.8044557,-122.271356
dt197,1927-03-14,"San Jose, California",37.3361663,-121.890591
dt198,1927-03-15,"Sacramento, California",38.5810606,-121.493895
dt199,1927-03-16,"Carson City, Nevada",39.1698022,-119.7575628
dt200,1927-03-17,"Salt Lake City, Utah",40.7596198,-111.886797
dt201,1927-03-18,"Pocatello, Idaho",42.8620287,-112.450627
dt202,1927-03-19,"Boise, Idaho",43.6166163,-116.200886
dt203,1927-03-20,"Pendleton, Oregon",45.672075,-118.7885967
dt204,1927-03-21,"Tacoma, Washington",47.2455013,-122.438329
dt205,1927-03-22,"Portland, Oregon",45.5202471,-122.674194
dt206,1927-03-23,"Aberdeen, Washington",46.975371,-123.815722
dt207,1927-03-24,"Seattle, Washington",47.6038321,-122.330062
dt208,1927-03-25,"Yakima, Washington",46.601557,-120.510842
dt209,1927-03-26,"Spokane, Washington",47.6571934,-117.42351
dt210,1927-03-27,"Spokane, Washington",47.6571934,-117.42351
dt211,1927-03-28,"Missoula, Montana",46.8701049,-113.995267
dt212,1927-03-29,"Butte, Montana",46.0131505,-112.536508
dt213,1927-03-30,"Helena, Montana",46.5927425,-112.036277
dt214,1927-03-31,"Great Falls, Montana",47.5048851,-111.29189
dt215,1927-04-01,"Billings, Montana",45.7874957,-108.49607
dt216,1927-04-03,"Broken Bow, Nebraska",41.4018116,-99.6393288
dt217,1927-04-04,"Hastings, Nebraska",40.5861322,-98.3898883
dt218,1927-04-05,"Manhattan, Kansas",39.1836082,-96.5716694
dt219,1927-04-06,"Des Moines, Iowa",41.5868654,-93.6249494
dt220,1927-04-07,"Milwaukee, Wisconsin",43.0386475,-87.9090751
dt221,1927-04-08,"Worthington, Minnesota",43.6205056,-95.5956434
dt222,1927-04-09,"Minneapolis, Minnesota",44.9772995,-93.2654692
dt223,1927-04-10,"Chicago, Illinois",41.8755616,-87.6244212
dt224,1927-04-11,"Danville, Illinois",40.125222,-87.6304614
dt225,1927-04-12,"Vincennes, Indiana",38.6772691,-87.5286325
dt226,1927-04-13,"Bedford, Indiana",38.8611619,-86.4872149
dt227,1927-04-14,"Lafayette, Indiana",40.4191229,-86.8919011
dt228,1927-04-15,"Cleveland, Ohio",41.4996574,-81.6936772
dt229,1927-04-17,"Cleveland, Ohio",41.4996574,-81.6936772
dt230,1927-04-18,"Cleveland, Ohio",41.4996574,-81.6936772
dt231,1927-04-19,"Warren, Ohio",41.2367955,-80.8190423
dt232,1927-04-20,"Pittsburgh, Pennsylvania",40.4416941,-79.9900861
dt233,1927-04-21,"Morgantown, West Virginia",39.6296809,-79.9559437
dt234,1927-04-22,"Harrisburg, Pennsylvania",40.2663107,-76.8861122
dt235,1927-04-24,"New York, New York",40.7127281,-74.0060152
dt236,1927-04-25,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
dt237,1927-04-26,"High Point, North Carolina",35.9556924,-80.0053176
dt238,1927-04-27,"Winston-Salem, North Carolina",36.0998131,-80.2440518
dt239,1927-04-28,"Richmond, Virginia",37.5385087,-77.43428
dt240,1927-04-29,"Staunton, Virginia",38.1495947,-79.072557
dt241,1927-05-01,"New York, New York",40.7127281,-74.0060152
dt242,1927-05-02,"New York, New York",40.7127281,-74.0060152
dt243,1927-05-03,"Albany, New York",42.6511674,-73.754968
dt244,1927-05-04,"New Haven, Connecticut",41.3082138,-72.9250518
dt245,1927-05-05,"New Haven, Connecticut",41.3082138,-72.9250518
dt246,1927-05-06,"Pawtucket, Rhode Island",41.8789531,-71.3821203
dt247,1927-05-07,"Montpelier, Vermont",44.2602244,-72.5750364
dt248,1927-05-08,"New York, New York",40.7127281,-74.0060152
dt249,1927-05-09,"Springfield, Massachusetts",42.1018764,-72.5886727
dt250,1927-05-10,"Northampton, Massachusetts",42.3178989,-72.6311006
dt251,1927-05-11,"Bennington, Vermont",42.8788667,-73.1968205
dt252,1927-05-12,"Boston, Massachusetts",42.3554334,-71.060511
dt253,1927-05-13,"Rutland, Vermont",43.6084792,-72.9724768
dt254,1927-05-15,"Providence, Rhode Island",41.8239891,-71.4128343
dt255,1927-05-16,"Oneonta, New York",42.453492,-75.0629531
dt256,1927-05-17,"Brattleboro, Vermont",42.8507588,-72.5572913
dt257,1927-05-18,"Pittsfield, Massachusetts",42.4484778,-73.2541069
dt258,1927-05-19,"Hartford, Connecticut",41.764582,-72.6908547
dt259,1927-05-20,"Concord, New Hampshire",43.207178,-71.537476
dt260,1927-05-22,"New York, New York",40.7127281,-74.0060152
dt261,1927-05-23,"Portland, Maine",43.6573605,-70.2586618
dt262,1927-05-24,"Boston, Massachusetts",42.3554334,-71.060511
dt263,1927-05-25,"Glens Falls, New York",43.309941,-73.644447
dt264,1927-05-26,"Charlottesville, Virginia",38.029306,-78.4766781
dt265,1927-05-27,"Bluefield, West Virginia",37.2698395,-81.2223195
dt266,1927-05-29,"New York, New York",40.7127281,-74.0060152
dt267,1927-05-30,"Hershey, Pennsylvania",40.2854881,-76.6506001
dt268,1927-05-31,"Atlanta, Georgia",33.7489924,-84.3902644
dt269,1927-06-01,"New Orleans, Louisiana",29.9759983,-90.0782127
dt270,1927-06-02,"Baton Rouge, Louisiana",30.4494155,-91.1869659
dt271,1927-06-03,"Springfield, Missouri",37.2081729,-93.2922715
dt272,1927-06-05,"Claremore, Oklahoma",36.3126005,-95.6160686
dt273,1927-06-06,"Dodge City, Kansas",37.7527982,-100.0170787
dt274,1927-06-07,"Winslow, Arizona",35.0241984,-110.6973463
dt275,1927-06-08,"Beverly Hills, California",34.0696501,-118.3963062
dt276,1927-06-09,"Beverly Hills, California",34.0696501,-118.3963062
dt277,1927-06-10,"Beverly Hills, California",34.0696501,-118.3963062
dt278,1927-06-12,"Hollywood, Los Angeles, California",34.0980031,-118.329523
dt279,1927-06-13,"Beverly Hills, California",34.0696501,-118.3963062
dt280,1927-06-14,"Beverly Hills, California",34.0696501,-118.3963062
dt281,1927-06-15,"Beverly Hills, California",34.0696501,-118.3963062
dt282,1927-06-16,"Beverly Hills, California",34.0696501,-118.3963062
dt283,1927-06-17,The California Hospital,34.03796115,-118.26580169987598
dt284,1927-06-19,The California Hospital,34.03796115,-118.26580169987598
dt285,1927-06-21,The California Hospital,34.03796115,-118.26580169987598
dt286,1927-06-22,The California Hospital,34.03796115,-118.26580169987598
dt287,1927-06-23,The California Hospital,34.03796115,-118.26580169987598
dt288,1927-06-24,"Los Angeles, California",34.0536909,-118.242766
dt289,1927-06-26,"Los Angeles, California",34.0536909,-118.242766
dt290,1927-06-27,"Los Angeles, California",34.0536909,-118.242766
dt291,1927-06-28,"Los Angeles, California",34.0536909,-118.242766
dt292,1927-06-29,"Los Angeles, California",34.0536909,-118.242766
dt293,1927-06-30,"Los Angeles, California",34.0536909,-118.242766
dt294,1927-07-01,"Los Angeles, California",34.0536909,-118.242766
dt295,1927-07-03,"Hollywood, Los Angeles, California",34.0980031,-118.329523
dt296,1927-07-04,"Beverly Hills, California",34.0696501,-118.3963062
dt297,1927-07-05,"Beverly Hills, California",34.0696501,-118.3963062
dt298,1927-07-06,"Beverly Hills, California",34.0696501,-118.3963062
dt299,1927-07-07,"Beverly Hills, California",34.0696501,-118.3963062
dt300,1927-07-08,"Beverly Hills, California",34.0696501,-118.3963062
dt301,1927-07-10,"Hollywood, Los Angeles, California",34.0980031,-118.329523
dt302,1927-07-11,"Beverly Hills, California",34.0696501,-118.3963062
dt303,1927-07-12,"Beverly Hills, California",34.0696501,-118.3963062
dt304,1927-07-13,"Beverly Hills, California",34.0696501,-118.3963062
dt305,1927-07-14,"Beverly Hills, California",34.0696501,-118.3963062
dt306,1927-07-15,"Beverly Hills, California",34.0696501,-118.3963062
dt307,1927-07-17,"Hollywood, Los Angeles, California",34.0980031,-118.329523
dt308,1927-07-18,"Beverly Hills, California",34.0696501,-118.3963062
dt309,1927-07-19,"Beverly Hills, California",34.0696501,-118.3963062
dt310,1927-07-20,"Beverly Hills, California",34.0696501,-118.3963062
dt311,1927-07-21,"Beverly Hills, California",34.0696501,-118.3963062
dt312,1927-07-22,"Beverly Hills, California",34.0696501,-118.3963062
dt313,1927-07-24,"Hollywood, Los Angeles, California",34.0980031,-118.329523
dt314,1927-07-25,"Beverly Hills, California",34.0696501,-118.3963062
dt315,1927-07-26,"Beverly Hills, California",34.0696501,-118.3963062
dt316,1927-07-27,"Beverly Hills, California",34.0696501,-118.3963062
dt317,1927-07-28,"Beverly Hills, California",34.0696501,-118.3963062
dt318,1927-07-29,"Beverly Hills, California",34.0696501,-118.3963062
dt319,1927-07-31,"Hollywood, Los Angeles, California",34.0980031,-118.329523
dt320,1927-08-01,"Beverly Hills, California",34.0696501,-118.3963062
dt321,1927-08-02,"Beverly Hills, California",34.0696501,-118.3963062
dt322,1927-08-03,"Beverly Hills, California",34.0696501,-118.3963062
dt323,1927-08-04,"Beverly Hills, California",34.0696501,-118.3963062
dt324,1927-08-05,"Beverly Hills, California",34.0696501,-118.3963062
dt325,1927-08-07,"Hollywood, Los Angeles, California",34.0980031,-118.329523
dt326,1927-08-08,"Beverly Hills, California",34.0696501,-118.3963062
dt327,1927-08-09,"Beverly Hills, California",34.0696501,-118.3963062
dt328,1927-08-10,"Beverly Hills, California",34.0696501,-118.3963062
dt329,1927-08-11,"Santa Barbara, California",34.4221319,-119.702667
dt330,1927-08-12,"Santa Barbara, California",34.4221319,-119.702667
dt331,1927-08-14,"Hollywood, Los Angeles, California",34.0980031,-118.329523
dt332,1927-08-15,"Beverly Hills, California",34.0696501,-118.3963062
dt333,1927-08-16,"Beverly Hills, California",34.0696501,-118.3963062
dt334,1927-08-17,"Beverly Hills, California",34.0696501,-118.3963062
dt335,1927-08-18,"Beverly Hills, California",34.0696501,-118.3963062
dt336,1927-08-19,"Beverly Hills, California",34.0696501,-118.3963062
dt337,1927-08-21,"Columbus, New Mexico",31.8327963,-107.640227
dt338,1927-08-22,"Topeka, Kansas",39.049011,-95.677556
dt339,1927-08-23,"Crestline, Ohio",40.7875572,-82.7365677
dt340,1927-08-24,"Washington, District of Columbia",38.89384735,-76.98804281910948
dt341,1927-08-25,"Washington, District of Columbia",38.89384735,-76.98804281910948
dt342,1927-08-26,"Washington, District of Columbia",38.89384735,-76.98804281910948
dt343,1927-08-28,"Washington, District of Columbia",38.89384735,-76.98804281910948
dt344,1927-08-29,"Washington, District of Columbia",38.89384735,-76.98804281910948
dt345,1927-08-30,"Washington, District of Columbia",38.89384735,-76.98804281910948
dt346,1927-08-31,"Washington, District of Columbia",38.89384735,-76.98804281910948
dt347,1927-09-01,"Harrisburg, Pennsylvania",40.2663107,-76.8861122
dt348,1927-09-02,"Chicago, Illinois",41.8755616,-87.6244212
dt349,1927-09-04,"El Paso, Texas",31.7601164,-106.4870404
dt350,1927-09-05,"Beverly Hills, California",34.0696501,-118.3963062
dt351,1927-09-06,"Beverly Hills, California",34.0696501,-118.3963062
dt352,1927-09-07,"Burbank, California",34.14887225,-118.33762984656904
dt353,1927-09-08,"Beverly Hills, California",34.0696501,-118.3963062
dt354,1927-09-09,"Burbank, California",34.14887225,-118.33762984656904
dt355,1927-09-11,"Hollywood, Los Angeles, California",34.0980031,-118.329523
dt356,1927-09-12,"Burbank, California",34.14887225,-118.33762984656904
dt357,1927-09-13,"First National Studio, Burbank, California",34.14887225,-118.33762984656904
dt358,1927-09-14,"First National Studio, Burbank, California",34.14887225,-118.33762984656904
dt359,1927-09-15,"First National Studio, Burbank, California",34.14887225,-118.33762984656904
dt360,1927-09-16,"Beverly Hills, California",34.0696501,-118.3963062
dt361,1927-09-18,"Hollywood, Los Angeles, California",34.0980031,-118.329523
dt362,1927-09-19,"Beverly Hills, California",34.0696501,-118.3963062
dt363,1927-09-20,"First National Studio, Burbank, California",34.14887225,-118.33762984656904
dt364,1927-09-21,"San Diego, California",32.7174202,-117.162772
dt365,1927-09-22,"Burbank, California",34.14887225,-118.33762984656904
dt366,1927-09-23,"Burbank, California",34.14887225,-118.33762984656904
dt367,1927-09-25,"Hollywood, Los Angeles, California",34.0980031,-118.329523
dt368,1927-09-26,"Beverly Hills, California",34.0696501,-118.3963062
dt369,1927-09-27,"Beverly Hills, California",34.0696501,-118.3963062
dt370,1927-09-28,"Beverly Hills, California",34.0696501,-118.3963062
dt371,1927-09-29,"Beverly Hills, California",34.0696501,-118.3963062
dt372,1927-09-30,"Hollywood, Los Angeles, California",34.0980031,-118.329523
dt373,1927-10-02,"Hollywood, Los Angeles, California",34.0980031,-118.329523
dt374,1927-10-03,"Burbank, California",34.14887225,-118.33762984656904
dt375,1927-10-04,"Burbank, California",34.14887225,-118.33762984656904
dt376,1927-10-05,"Burbank, California",34.14887225,-118.33762984656904
dt377,1927-10-06,"Burbank, California",34.14887225,-118.33762984656904
dt378,1927-10-07,"Beverly Hills, California",34.0696501,-118.3963062
dt379,1927-10-09,"Hollywood, Los Angeles, California",34.0980031,-118.329523
dt380,1927-10-10,"Beverly Hills, California",34.0696501,-118.3963062
dt381,1927-10-11,"Beverly Hills, California",34.0696501,-118.3963062
dt382,1927-10-12,"Beverly Hills, California",34.0696501,-118.3963062
dt383,1927-10-13,"Beverly Hills, California",34.0696501,-118.3963062
dt384,1927-10-14,"Beverly Hills, California",34.0696501,-118.3963062
dt385,1927-10-16,"Hollywood, Los Angeles, California",34.0980031,-118.329523
dt386,1927-10-17,"Beverly Hills, California",34.0696501,-118.3963062
dt387,1927-10-18,"Salt Lake City, Utah",40.7596198,-111.886797
dt388,1927-10-19,"Lewistown, Pennsylvania",40.5992395,-77.571382
dt389,1927-10-20,"Cleveland, Ohio",41.4996574,-81.6936772
dt390,1927-10-21,"Las Vegas, Nevada",36.1672559,-115.148516
dt391,1927-10-23,"Hollywood, Los Angeles, California",34.0980031,-118.329523
dt392,1927-10-24,"Beverly Hills, California",34.0696501,-118.3963062
dt393,1927-10-25,"Beverly Hills, California",34.0696501,-118.3963062
dt394,1927-10-26,"Hollywood, Los Angeles, California",34.0980031,-118.329523
dt395,1927-10-27,"Beverly Hills, California",34.0696501,-118.3963062
dt396,1927-10-28,"Beverly Hills, California",34.0696501,-118.3963062
dt397,1927-10-30,"San Simeon, California",35.6133158,-121.144234
dt398,1927-10-31,"Santa Barbara, California",34.4221319,-119.702667
dt399,1927-11-01,"Beverly Hills, California",34.0696501,-118.3963062
dt400,1927-11-02,"First National Studio, Burbank, California",34.14887225,-118.33762984656904
dt401,1927-11-03,"Beverly Hills, California",34.0696501,-118.3963062
